,X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DOY,OCC_DAY,OCC_HOUR,OCC_TIME_RANGE,DIVISION,DEATH,INJURIES,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
752,-79.471559197,43.780463367,753,GO-20072374452,2007/08/31 04:00:00+00,2007,August,Friday,243,31,13,Afternoon,D32,0,1,27,York University Heights,27,York University Heights (27),-79.4715591966822,43.7804633666196
753,-79.5015381169999,43.7437045340001,754,GO-20072432924,2007/12/05 05:00:00+00,2007,December,Wednesday,339,5,8,Morning,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5015381167189,43.743704533871
754,-79.514186497,43.755467024,755,GO-20072083666,2007/04/11 04:00:00+00,2007,April,Wednesday,101,11,0,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5141864969111,43.7554670244266
755,-79.5104455809999,43.7492207270001,756,GO-20072497008,2007/10/27 04:00:00+00,2007,October,Saturday,300,27,15,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
774,-79.526902317,43.755306358,775,GO-20072540432,2007/11/10 05:00:00+00,2007,November,Saturday,314,10,3,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5269023165285,43.7553063584339
779,-79.514186497,43.755467024,780,GO-20072072142,2007/04/07 04:00:00+00,2007,April,Saturday,97,7,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5141864969111,43.7554670244266
785,-79.4714769879999,43.7678203080001,786,GO-20071984583,2007/01/04 05:00:00+00,2007,January,Thursday,4,4,23,Evening,D32,0,1,27,York University Heights,27,York University Heights (27),-79.4714769880066,43.7678203076073
790,-79.514186497,43.755467024,791,GO-20072300618,2007/07/02 04:00:00+00,2007,July,Monday,183,2,13,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5141864969111,43.7554670244266
791,-79.504982727,43.7413953670001,792,GO-20072514754,2007/12/05 05:00:00+00,2007,December,Wednesday,339,5,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5049827274221,43.7413953665875
792,-79.514808344,43.763390019,793,GO-20071992423,2007/05/03 04:00:00+00,2007,May,Thursday,123,3,20,Evening,D31,0,2,24,Black Creek,24,Black Creek (24),-79.5148083441961,43.7633900194332
800,-79.487588489,43.749601075,801,GO-20072347810,2007/09/01 04:00:00+00,2007,September,Saturday,244,1,3,Night,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4875884885483,43.7496010753601
805,-79.519288183,43.770266264,806,GO-20072098904,2007/05/30 04:00:00+00,2007,May,Wednesday,150,30,22,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5192881828067,43.7702662644401
807,-79.5152277779999,43.7681488160001,808,GO-20072323158,2007/06/13 04:00:00+00,2007,June,Wednesday,164,13,3,Night,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5152277778151,43.7681488158175
813,-79.5104455809999,43.7492207270001,814,GO-20072288585,2007/06/24 04:00:00+00,2007,June,Sunday,175,24,18,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
822,-79.5104455809999,43.7492207270001,823,GO-20072287075,2007/06/18 04:00:00+00,2007,June,Monday,169,18,16,Afternoon,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
823,-79.516340504,43.751886563,824,GO-20072041988,2007/03/28 04:00:00+00,2007,March,Wednesday,87,28,19,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5163405044465,43.7518865628673
825,-79.518758927,43.769157185,826,GO-20072355350,2007/08/27 04:00:00+00,2007,August,Monday,239,27,0,Night,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
829,-79.516074535,43.7507307820001,830,GO-20072373602,2007/09/28 04:00:00+00,2007,September,Friday,271,28,20,Evening,D31,1,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5160745352033,43.7507307824281
831,-79.511387056,43.75012851,832,GO-20072056204,2007/05/04 04:00:00+00,2007,May,Friday,124,4,16,Afternoon,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.511387055911,43.7501285096067
834,-79.487588489,43.749601075,835,GO-20072434650,2007/11/17 05:00:00+00,2007,November,Saturday,321,17,0,Night,D31,0,1,27,York University Heights,27,York University Heights (27),-79.4875884885483,43.7496010753601
840,-79.503397446,43.7410703040001,841,GO-20072387161,2007/12/08 05:00:00+00,2007,December,Saturday,342,8,21,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5033974457219,43.7410703043346
